Arrondissement,Bedrooms,Bathrooms,Average Monthly Rent (€)
19th arrondissement,5.0,3.0,3438.3
19th arrondissement,5.0,4.0,3588.3
19th arrondissement,5.0,5.0,3738.3
19th arrondissement,5.0,6.0,3888.3
19th arrondissement,5.0,7.0,4038.3
20th arrondissement,1.0,1.0,836.4
20th arrondissement,1.0,2.0,986.4
20th arrondissement,1.0,3.0,1136.4
20th arrondissement,1.0,4.0,1286.4
20th arrondissement,1.0,5.0,1436.4
20th arrondissement,1.0,6.0,1586.4
20th arrondissement,1.0,7.0,1736.4
20th arrondissement,2.0,1.0,1394.0
20th arrondissement,2.0,2.0,1544.0
20th arrondissement,2.0,3.0,1694.0
20th arrondissement,2.0,4.0,1844.0
20th arrondissement,2.0,5.0,1994.0
20th arrondissement,2.0,6.0,2144.0
20th arrondissement,2.0,7.0,2294.0
20th arrondissement,3.0,1.0,1951.6
20th arrondissement,3.0,2.0,2101.6
20th arrondissement,3.0,3.0,2251.6
20th arrondissement,3.0,4.0,2401.6
20th arrondissement,3.0,5.0,2551.6
20th arrondissement,3.0,6.0,2701.6
20th arrondissement,3.0,7.0,2851.6
20th arrondissement,4.0,1.0,2509.2
20th arrondissement,4.0,2.0,2659.2
20th arrondissement,4.0,3.0,2809.2
20th arrondissement,4.0,4.0,2959.2
20th arrondissement,4.0,5.0,3109.2
20th arrondissement,4.0,6.0,3259.2
20th arrondissement,4.0,7.0,3409.2
20th arrondissement,5.0,1.0,3066.8
20th arrondissement,5.0,2.0,3216.8
20th arrondissement,5.0,3.0,3366.8
20th arrondissement,5.0,4.0,3516.8
20th arrondissement,5.0,5.0,3666.8
20th arrondissement,5.0,6.0,3816.8
20th arrondissement,5.0,7.0,3966.8
